repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language,Language Frequency
defuse/crackstation-hashdb,296,106,6,1,2,PHP,16
Ishita-0112/Pysa-Hack,0,0,6,1,2,Python,155
aloisdeniel/dio_retry,46,34,5,1,2,Dart,36
aloisdeniel/dio_retry,46,34,5,1,2,Dart,36
adrianhajdin/project_google_clone,324,78,4,1,2,JavaScript,253
lmgonzalves/brushstroke,81,14,4,1,2,JavaScript,253
localstack/aws-sam-cli-local,17,4,3,1,2,Python,155
anuraghazra/circleci-test,0,0,3,1,2,JavaScript,253
benawad/basic-react-form,83,149,2,1,2,JavaScript,253
mrdbourke/airbnb-amenity-detection,142,47,2,1,2,Jupyter Notebook,29
devongovett/blob-stream,100,20,2,1,2,JavaScript,253
rogeriopvl/8bit,82,12,2,1,2,JavaScript,253
gabrielfalcao/couleur,41,3,2,1,2,Python,155
GmGniap/practice_python,1,1,2,1,2,Jupyter Notebook,29
bradtraversy/angular-crash-todolist,224,232,1,1,2,TypeScript,37
wsvincent/django-auth-tutorial,218,97,1,1,2,Python,155
bradtraversy/a4app,82,52,1,1,2,TypeScript,37
ethereum/cable,30,15,1,1,2,CMake,1
goforbg/ClickableMapView,36,8,1,1,2,Kotlin,7
danger-ahead/flutter_dev_folio,24,8,1,1,2,Dart,36
AYIDouble/Decentralized-World-Wide-Web-ERC-721,13,5,1,1,2,Solidity,3
aviaryan/alfred-last2imgur,14,1,1,1,2,Shell,25
cyborgboy/intro-to-semgrep,0,0,1,1,2,TypeScript,37
cyborgboy/intro-to-semgrep,0,0,1,1,2,TypeScript,37
adrianhajdin/chat_application,829,413,19,1,0,JavaScript,253
Tyriar/atom-navigation-history,2,3,13,1,0,CoffeeScript,3
casatwy/CTNetworking,479,104,11,1,0,Objective-C,8
openfoodfacts/DriveOFF,1,6,7,1,0,JavaScript,253
andrewjmead/node-course-v3-code,569,391,6,1,0,JavaScript,253
aloisdeniel/built_vector,33,6,6,1,0,Dart,36
aloisdeniel/built_vector,33,6,6,1,0,Dart,36
aviaryan/BrainGames,45,11,5,1,0,Python,155
aloisdeniel/built_bloc,51,5,5,1,0,Dart,36
aloisdeniel/built_bloc,51,5,5,1,0,Dart,36
taranjeet/blog,0,1,5,1,0,HTML,72
curiousily/Credit-Card-Fraud-Detection-using-Autoencoders-in-Keras,408,254,4,1,0,Jupyter Notebook,29
adrianhajdin/project_hoobank,469,135,4,1,0,JavaScript,253
curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,128,41,4,1,0,Python,155
YashKumarVerma/all-covid-info-frontend,9,1,4,1,0,JavaScript,253
eugenioclrc/binance-crypto-triangular-arbitrage,226,93,2,1,0,JavaScript,253
florinpop17/frontend-mentor-challenges,262,91,2,1,0,CSS,37
Anuj-Kumar-Sharma/Java-DSA,131,71,2,1,0,Java,44
Anuj-Kumar-Sharma/Social-App,48,38,2,1,0,Kotlin,7
marcel-dempers/cpu-performance-analysis,22,22,2,1,0,Shell,25
RivaanRanawat/flutter-dapp-tutorial,4,4,2,1,0,C++,29
ducc/ducclang,0,1,2,1,0,JavaScript,253
IonicaBizau/animato.js,5,0,2,1,0,JavaScript,253
artkirienko/final-html-css,1,0,2,1,0,CSS,37
artkirienko/final-html-css,1,0,2,1,0,CSS,37
education/autograding-example-java,21,59,1,1,0,Java,44
ritwickdey/Cake-Shop,44,40,1,1,0,C#,8
ritwickdey/Cake-Shop,44,40,1,1,0,C#,8
byt3bl33d3r/DHCPShock,81,31,1,1,0,Python,155
anuraghazra/CanvasFun,141,30,1,1,0,JavaScript,253
byt3bl33d3r/CME-PowerShell-Scripts,41,30,1,1,0,PowerShell,2
LiveOverflow/lo_nintendoswitch,196,26,1,1,0,HTML,72
wsvincent/django-rest-framework-react-tutorial,68,25,1,1,0,Python,155
nikhilkumarsingh/async-http-requests-tut,38,25,1,1,0,Python,155
byt3bl33d3r/BeEF-API,75,23,1,1,0,Python,155
studiomohawk/jekyll-theme-the_minimum,42,10,1,1,0,Ruby,28
btholt/btholt.github.io,7,10,1,1,0,CSS,37
education/autograding-example-cpp,7,9,1,1,0,C++,29
WhiteHouse/mobile-policy,3,8,1,1,0,CSS,37
KrauseFx/dotfiles,84,7,1,1,0,Shell,25
KrauseFx/dotfiles,84,7,1,1,0,Shell,25
felangel/bloc_todos,6,6,1,1,0,Dart,36
KrauseFx/doesitrain.today,5,2,1,1,0,Ruby,28
KrauseFx/doesitrain.today,5,2,1,1,0,Ruby,28
jakearchibald/accept-encoding-range-test,2,2,1,1,0,JavaScript,253
aloisdeniel/feature_flags,18,1,1,1,0,Dart,36
aloisdeniel/feature_flags,18,1,1,1,0,Dart,36
aviaryan/alfred-clc,16,1,1,1,0,Shell,25
aviaryan/Ahk-CI-Example,14,1,1,1,0,AutoHotkey,3
lucianmarin/pybench,6,1,1,1,0,Python,155
jishanshaikh4/cuda-programs,14,0,1,1,0,Cuda,1
0zul/canvamoji,2,0,1,1,0,JavaScript,253
lucianmarin/pressdown,2,0,1,1,0,PHP,16
itaditya/AM-admin-panel,0,0,1,1,0,HTML,72
artkirienko/int--even,0,0,1,1,0,C,26
artkirienko/int--even,0,0,1,1,0,C,26
carloscuesta/gitmoji,0,691,9,0,88,JavaScript,253
carloscuesta/gitmoji,0,691,9,0,88,JavaScript,253
garimasingh128/CP-DSA-Cpp-C,25,89,5,0,72,C++,29
siddhi-244/Embellish,39,99,1,0,55,HTML,72
siddhi-244/Embellish,39,99,1,0,55,HTML,72
carloscuesta/gitmoji-cli,0,190,4,0,43,JavaScript,253
carloscuesta/gitmoji-cli,0,190,4,0,43,JavaScript,253
EddieHubCommunity/Hackathons,23,25,2,0,26,Java,44
majkinetor/au,214,79,21,0,24,PowerShell,2
sirinath/blog,0,0,2,0,23,Shell,25
skpandey885/HealhUb,19,36,1,0,23,HTML,72
majkinetor/au-packages,53,40,19,0,22,HTML,72
IonicaBizau/anser,50,17,3,0,22,JavaScript,253
arkokoley/pdfvuer,722,114,24,0,17,Vue,2
simonw/asgi-csrf,40,2,2,0,17,Python,155
AnandBaburajan/Kukkee,231,46,12,0,16,TypeScript,37
localstack/localstack-python-client,144,30,3,0,16,Python,155
agamjotsingh18/codesetgo-website,8,25,7,0,14,CSS,37
agamjotsingh18/codesetgo-website,8,25,7,0,14,CSS,37
localstack/awscli-local,702,58,6,0,14,Python,155
EddieHubCommunity/gh-action-community,24,16,3,0,13,JavaScript,253
education/guide,32,18,10,0,12,Ruby,28
RioChndr/jaksel-language,507,55,9,0,12,JavaScript,253
feross/chrome-net,131,26,1,0,12,JavaScript,253
Vectorized/solady,315,21,4,0,10,Solidity,3
ethereum/act,126,22,31,0,9,Haskell,1
EddieHubCommunity/DailyTips,16,6,9,0,9,TypeScript,37
smaranjitghose/auto_vaidya,18,19,8,0,9,Python,155
EddieHubCommunity/EddieBotUI,11,19,5,0,9,JavaScript,253
arogozhnikov/hep_ml,151,58,22,0,8,Jupyter Notebook,29
Ishita-0112/CODES,4,6,5,0,8,Java,44
taniarascia/primitive,879,82,2,0,8,SCSS,4
Anurag5086/Portfolio-website-themes,1,8,2,0,8,HTML,72
Anurag5086/Portfolio-website-themes,1,8,2,0,8,HTML,72
antoniaandreou/github-slideshow,0,0,1,0,8,HTML,72
antoniaandreou/github-slideshow,0,0,1,0,8,HTML,72
Justin77777/github-slideshow,0,0,1,0,8,HTML,72
Rivuozil/github-slideshow,0,0,1,0,8,HTML,72
AneleMbabela/github-slideshow,0,0,1,0,8,HTML,72
ankitkumar70777/github-slideshow,0,0,1,0,8,HTML,72
Luis-Miguel1/github-slideshow,0,0,1,0,8,Ruby,28
adil-Pathan/github-slideshow,0,0,1,0,8,Ruby,28
DevGupta-ikr/github-slideshow,0,0,1,0,8,Ruby,28
ralexstokes/ethereum-consensus,41,11,21,0,7,Rust,10
EddieHubCommunity/EddieHubLive,15,12,15,0,7,JavaScript,253
trailofbits/blight,63,5,14,0,7,Python,155
Clueless-Community/clueless-official-website,5,4,8,0,7,TypeScript,37
casatwy/RTNetworking,0,317,2,0,7,Objective-C,8
mattgallagher/CwlPreconditionTesting,157,39,2,0,7,Swift,10
saurabhdaware/DEV-widget,94,12,2,0,7,JavaScript,253
carloscuesta/carloscuesta.me,39,7,2,0,7,JavaScript,253
carloscuesta/carloscuesta.me,39,7,2,0,7,JavaScript,253
brettkromkamp/contextualise,960,43,57,0,6,Python,155
google/accname,14,3,9,0,6,TypeScript,37
AYIDouble/Binary-Calculator-JavaScript,48,9,8,0,6,JavaScript,253
EddieHubCommunity/gh-actions-html-table-generator,23,13,6,0,6,JavaScript,253
nikhilkumarsingh/content-downloader,104,68,3,0,6,Python,155
trailofbits/constexpr-everything,231,11,3,0,6,C++,29
EddieHubCommunity/EddieBotBreakout,14,2,3,0,6,TypeScript,37
RakeshSeervi/congenial-spoon,0,7,1,0,6,CSS,37
justinshenk/fer,210,62,19,0,5,Jupyter Notebook,29
justinshenk/fer,210,62,19,0,5,Jupyter Notebook,29
garimasingh128/Alexa-skills-starters,24,15,18,0,5,Python,155
casatwy/CTVideoPlayerView,641,81,11,0,5,Objective-C,8
idvoretskyi/buildbot,0,0,8,0,5,HTML,72
defuse/crackstation,103,35,7,0,5,Hack,2
trailofbits/AppJailLauncher,133,19,6,0,5,C++,29
Raz0r/aemscan,158,52,4,0,5,Python,155
Clueless-Community/Datasets,4,3,4,0,5,JavaScript,253
trailofbits/bisc,71,15,3,0,5,Ruby,28
ethereum/alexandria,6,8,3,0,5,Python,155
97shivank/Hotel-Site-with-Django,5,7,3,0,5,Python,155
MariaEduardaDeAzevedo/centavos-search,7,4,3,0,5,JavaScript,253
ankushKun/animedoro-timer,32,8,2,0,5,HTML,72
taniarascia/new-moon-chrome-devtools,56,5,2,0,5,CSS,37
rchtgpt/tablot,0,0,2,0,5,Python,155
ethereum/asyncio-cancel-token,9,7,1,0,5,Python,155
jdrago999/AWS-S3,14,6,1,0,5,Perl,3
RamyaChinnadurai/intro-react,1,0,1,0,5,JavaScript,253
ethereum/clef-ui,24,15,13,0,4,QML,1
Abhishek-kumar09/AutoBot,2,0,6,0,4,JavaScript,253
offensive-security/masscan-web-ui,437,176,5,0,4,PHP,16
garimasingh128/Draw,1,4,5,0,4,HTML,72
antonmedv/jsize,179,12,4,0,4,JavaScript,253
RonLek/ALPR-and-Identification-for-Indian-Vehicles,25,8,4,0,4,Jupyter Notebook,29
openfoodfacts/eu-food-data,8,6,4,0,4,HTML,72
Rajdip019/booklee,7,1,4,0,4,JavaScript,253
byt3bl33d3r/arpspoof,175,66,3,0,4,Python,155
emersonsoares/cep-api,98,44,3,0,4,C#,8
xprilion/fireshort,63,28,2,0,4,JavaScript,253
taniarascia/chat,154,27,2,0,4,TypeScript,37
trailofbits/appjaillauncher-rs,97,14,2,0,4,Rust,10
vivekweb2013/audio-recorder,22,4,2,0,4,Java,44
divyamagwl/Depocalypse,14,5,1,0,4,JavaScript,253
divyamagwl/Depocalypse,14,5,1,0,4,JavaScript,253
securearth/backman,3,0,1,0,4,Python,155
shobhit97/open-gpstracker,0,0,172,0,3,Java,44
defuse/defuse.ca,53,17,14,0,3,HTML,72
devraj/PassCodeInput,21,2,11,0,3,Swift,10
openfoodfacts/folksonomy_frontend,1,0,9,0,3,JavaScript,253
nerdynikhil/bloggy,2,4,8,0,3,Dart,36
WhiteHouse/logger,5,7,6,0,3,PHP,16
trailofbits/censys-ruby,9,3,5,0,3,Ruby,28
ralexstokes/deposit-verifier,15,7,4,0,3,Python,155
MariaEduardaDeAzevedo/detector-de-mascaras,167,23,3,0,3,Python,155
smaranjitghose/AppleFoliarAI,7,9,3,0,3,Dockerfile,3
nerdynikhil/codestreak,4,3,3,0,3,JavaScript,253
amacgregor/amgr_phx,0,1,3,0,3,CSS,37
ck37/featurerank,1,0,3,0,3,R,1
gasteigerjo/turbulent,0,0,3,0,3,C++,29
taniarascia/react-hooks,339,207,2,0,3,JavaScript,253
arogozhnikov/infiniteboost,184,22,2,0,3,Jupyter Notebook,29
carloscuesta/starterkit,88,13,2,0,3,JavaScript,253
carloscuesta/starterkit,88,13,2,0,3,JavaScript,253
ducc/DubTrack4J,1,3,2,0,3,Java,44
sambitraze/cpp,0,3,2,0,3,C++,29
norbusan/jfontmaps,434,1,2,0,3,Perl,3
norbusan/jfontmaps,434,1,2,0,3,Perl,3
localstack/localstack-extensions,9,1,2,0,3,Python,155
bradtraversy/brainjs_examples,105,58,1,0,3,JavaScript,253
nikhilkumarsingh/clix,15,34,1,0,3,Python,155
ck37/coral-ordinal,48,17,1,0,3,Python,155
avikalpg/POPL,37,13,1,0,3,Oz,1
zfogg/ascii-chat,158,8,1,0,3,C,26
mattgallagher/CwlViews,166,6,1,0,3,Swift,10
google/aarch64-paging,6,2,1,0,3,Rust,10
iamakshat01/e-gurukul,0,2,1,0,3,JavaScript,253
shazow/colorblendy,22,1,1,0,3,JavaScript,253
vivekweb2013/commandhunt,9,1,1,0,3,Java,44
MannyP31/Dev-folio-1,5,1,1,0,3,HTML,72
trailofbits/btfparse,5,1,1,0,3,C++,29
Anurag5086/chatify,0,1,1,0,3,JavaScript,253
Anurag5086/chatify,0,1,1,0,3,JavaScript,253
localstack/ci-plugin-circleci,3,0,1,0,3,Makefile,6
thrau/my-action-tests,1,0,1,0,3,Python,155
Mitesh411/hello-github-actions,0,0,1,0,3,Dockerfile,3
tapaswenipathak/CFP,0,1,21,0,2,Python,155
openfoodfacts/hungergames-old,4,2,12,0,2,Python,155
vasu-1/pygithub-bot,8,1,12,0,2,Python,155
vasu-1/pygithub-bot,8,1,12,0,2,Python,155
adrianhajdin/projects_realestate,749,262,9,0,2,JavaScript,253
JayjeetAtGithub/Audition-Management-System,3,8,9,0,2,Python,155
jishanshaikh4/assignments,21,1,8,0,2,C++,29
brettkromkamp/topic-db,216,13,7,0,2,Python,155
avikalpg/free-time,2,5,7,0,2,JavaScript,253
byt3bl33d3r/duckhunter,96,39,6,0,2,Python,155
gabrielfalcao/dead-parrot,16,4,5,0,2,Python,155
fromgopi/cookbook-api,2,1,5,0,2,Python,155
AYIDouble/Cat-Face-Detector-with-OpenCV-and-JavaFX,24,7,4,0,2,Java,44
mitsuhiko/better-panic,332,6,4,0,2,Rust,10
yourcelf/afgexplorer,48,6,4,0,2,Python,155
nikhilkumarsingh/awesome-wikidata-scripts,6,3,4,0,2,Jupyter Notebook,29
asweigart/bext,13,2,4,0,2,Python,155
jamesbachini/Encryption-VScode,3,2,4,0,2,JavaScript,253
0xCaso/defillama-telegram-bot,0,1,4,0,2,JavaScript,253
AnkushMalaker/speech-emotion-recognition,5,0,4,0,2,PureBasic,1
bradtraversy/angular60,129,102,3,0,2,JavaScript,253
mrdbourke/m1-machine-learning-test,303,84,3,0,2,Jupyter Notebook,29
ritwickdey/organic-shop,56,36,3,0,2,TypeScript,37
ritwickdey/organic-shop,56,36,3,0,2,TypeScript,37
itaditya/background-check,27,12,3,0,2,JavaScript,253
google/actions-on-google-trivia-template-sdk,14,8,3,0,2,JavaScript,253
Tyriar/abbr-touch,51,4,3,0,2,HTML,72
MariaEduardaDeAzevedo/jogo-da-velha,7,3,3,0,2,Python,155
rogeriopvl/Downpy,9,1,3,0,2,Python,155
sreehari2003/cvshare.io,5,1,3,0,2,TypeScript,37
nikhilkumarsingh/cmail,3,1,3,0,2,Python,155
antonmedv/gofx,234,10,2,0,2,Go,15
AYIDouble/Deep-Learning-Machine-Learning-AI-TensorFlow-Python,19,8,2,0,2,Python,155
AYIDouble/BMI-Calculator-JavaScript,18,7,2,0,2,JavaScript,253
IonicaBizau/ajs,21,6,2,0,2,JavaScript,253
AnmolTomer/ml_bootcamp_udemy,6,6,2,0,2,Jupyter Notebook,29
aviaryan/clipjump-addons,9,4,2,0,2,AutoHotkey,3
kdeldycke/mdx_titlecase,1,3,2,0,2,Python,155
AYIDouble/IoT-Arduino-Game-Controller-Java,16,2,2,0,2,Java,44
simonw/asyncinject,26,1,2,0,2,Python,155
harryadel/blastjs,9,1,2,0,2,JavaScript,253
kameshsampath/ansible-role-openshift-spices,2,1,2,0,2,HTML,72
kameshsampath/ansible-role-openshift-spices,2,1,2,0,2,HTML,72
rijusougata13/movie-recommender,1,1,2,0,2,HTML,72
AnirudhDagar/gh-tracker,15,0,2,0,2,JavaScript,253
DaiJunMaster/DJColorfulSlider,13,0,2,0,2,Objective-C,8
kameshsampath/ansible-role-rosa-demos,0,0,2,0,2,Makefile,6
kameshsampath/ansible-role-rosa-demos,0,0,2,0,2,Makefile,6
robertsdionne/neural-network-papers,0,377,1,0,2,JavaScript,253
taniarascia/pdo,216,183,1,0,2,PHP,16
douglascrockford/TDOP,146,32,1,0,2,HTML,72
lmgonzalves/jelly,111,32,1,0,2,JavaScript,253
gasteigerjo/gdc,156,26,1,0,2,Python,155
SauravMukherjee44/Portfolio-Saurav-Mukherjee,37,18,1,0,2,CSS,37
marcel-dempers/k8s-build-your-own,3,13,1,0,2,Shell,25
trailofbits/cfg-showcase,38,12,1,0,2,C++,29
feross/capture-frame,112,10,1,0,2,JavaScript,253
mrdbourke/food-not-food,45,9,1,0,2,Jupyter Notebook,29
lmgonzalves/letters,57,8,1,0,2,JavaScript,253
justinshenk/deepemotion,12,7,1,0,2,JavaScript,253
justinshenk/deepemotion,12,7,1,0,2,JavaScript,253
AYIDouble/IOTA-Arbitrage,13,6,1,0,2,JavaScript,253
gabrielfalcao/bolacha,17,5,1,0,2,Python,155
itaditya/AR-shopping,2,5,1,0,2,HTML,72
cheeaun/3d-touch-canvas,59,4,1,0,2,HTML,72
jishanshaikh4/CSE-217-Data-Structures-Laboratory,23,3,1,0,2,C++,29
Priyansh19077/ColorSwtichClone,5,3,1,0,2,Java,44
curiousily/dissertation,4,3,1,0,2,Jupyter Notebook,29
shazow/communal,43,2,1,0,2,Go,15
EddieHubCommunity/LiveStream-GitOps-Demo,9,2,1,0,2,JavaScript,253
lucianmarin/wp-journalist,6,2,1,0,2,PHP,16
jamesbachini/satoshisearch,0,2,1,0,2,JavaScript,253
localstack/amplify-js-local,16,1,1,0,2,JavaScript,253
brettkromkamp/typed-tree,14,1,1,0,2,Python,155
tobie/async-it,6,1,1,0,2,JavaScript,253
AshAman999/FUNZONE,2,1,1,0,2,Dart,36
Swayms-stack/Python-Programs,2,1,1,0,2,Jupyter Notebook,29
PranamBhat/Angular-Ivy-Compiler,0,1,1,0,2,TypeScript,37
RioChndr/algorithm_challenge,0,1,1,0,2,PHP,16
patraanjan23/abstractform,0,1,1,0,2,SCSS,4
AYIDouble/Brainfuck-Interpreter-Node.js,10,0,1,0,2,JavaScript,253
vicky002/charmander,7,0,1,0,2,Python,155
danger-ahead/flutter_dictionary,5,0,1,0,2,Dart,36
ljharb/big-integer-max,3,0,1,0,2,JavaScript,253
rchtgpt/certifyed,2,0,1,0,2,Python,155
dwij2812/Grain-Monitoring-System-Using-LoRaWAN-Webapp,1,0,1,0,2,HTML,72
kaushik-rishi/codemirror-record,0,0,1,0,2,JavaScript,253
tapaswenipathak/API-list,0,0,1,0,2,Python,155
hellofuddin/github-slideshow,0,0,1,0,2,HTML,72
Pavel401/LogIn-UI,0,0,1,0,2,Dart,36
